음식명,코드,재료,맛,나라종류+형태소,속성종류,음식종류,번호,imgPath,주재료,,,,,,,,,,,,,,,
감자탕,1000100000020001,"돼지고기,감자,시래기,우거지,된장|깨,파,생강,마늘,,,","뜨거운,고소한,감칠",1000,1000,0002,0001,f_001,돼지고기,감자,시래기,우거지,된장,깨,파,생강,마늘,,,,,,,
감자수제비,1000100000020002,"밀가루,육수,감자|양파,호박,파,간장,계란,,,,","고소한,뜨거운,쫀득한",1000,1000,0002,0002,f_002,밀가루,육수,감자,양파,호박,파,간장,계란,,,,,,,,
돼지곱창,1000100000010001,"돼지고기|소주,소금,후추,밀가루,,,,,,,","뜨거운,짭짤한,쫄깃한",1000,1000,0001,0001,f_003,돼지고기,소주,소금,후추,밀가루,,,,,,,,,,,
갈비탕,1000100000020003,"소고기,육수|무,파,마늘,양파,소금,,,,,","짭짤한,뜨거운,담백한",1000,1000,0002,0003,f_004,소고기,육수,무,파,마늘,양파,소금,,,,,,,,,
돼지갈비,1000100000010002,"돼지고기,간장|양파,당근,설탕,생강즙,배즙,마늘,생강,소주,후추,","달콤한,뜨거운,물렁물렁한",1000,1000,0001,0002,f_005,돼지고기,간장,양파,당근,설탕,생강즙,배즙,마늘,생강,소주,후추,,,,,
닭갈비,1000100000010003,,"짭짤한,매운,뜨거운,쫄깃한",1000,1000,0001,0003,f_006,닭고기,고추장,양배추,고구마,양파,파,떡,상추,깻잎,,,,,,,
파전,1000100000050001,"밀가루,파|고추,오징어,낙지,소금,,,,,,","바삭한,쫄깃한,따뜻한,느끼한",1000,1000,0005,0001,f_007,밀가루,파,고추,오징어,낙지,소금,,,,,,,,,,
돈까스,1000100000050002,"돼지고기,밀가루,계란,빵가루|,,,,,,,","바삭한,담백한,느끼한",1000,1000,0005,0002,f_008,돼지고기,밀가루,계란,빵가루,,,,,,,,,,,,
삼계탕,1000100000010004,"닭고기|쌀,인삼,마늘,대추,파,소금,후추,,,,","뜨거운,담백한",1000,1000,0001,0004,f_009,닭고기,쌀,인삼,마늘,대추,파,소금,후추,,,,,,,,
순대,1000100000030001,"돼지고기,당면|밀가루,소금,양파,양배추,선지,파,마늘,생강,소금,","쫄깃한,담백한,따뜻한",1000,1000,0003,0001,f_010,돼지고기,당면,밀가루,소금,양파,양배추,선지,파,마늘,생강,소금,,,,,
닭볶음탕,1000100000020004,"닭고기,감자,고춧가루|당근,고추,설탕,마늘,생강,간장,양파,,","매운,뜨거운,담백한",1000,1000,0002,0004,f_011,닭고기,감자,고춧가루,당근,고추,설탕,마늘,생강,간장,양파,,,,,,
설렁탕,1000100000020005,"소고기,사골,도가니,우설|파,마늘,생강,양파,소금,호추,,","짭짤한,담백한,뜨거운,부드러운",1000,1000,0002,0005,f_012,소고기,사골,도가니,우설,파,마늘,생강,양파,소금,호추,,,,,,
김밥,1000100000070001,"밥,김,당근,계란,햄,시금치,단무지,참기름|,,,","고소한,담백한",1000,1000,0007,0001,f_013,밥,김,당근,계란,햄,시금치,단무지,참기름,,,,,,,,
냉면,1000100000060001,"면,육수|무,오이,배,계란,연겨자,식초,,,,","시큼한,차가운,부드러운,쫄깃한",1000,1000,0006,0001,f_014,면,육수,무,오이,배,계란,연겨자,식초,,,,,,,,
김치찌개,1000100000020006,"김치,육수,고춧가루|참기름,돼지고기,두부,파,,,,,","달콤한,얼큰한,뜨거운",1000,1000,0002,0006,f_015,김치,육수,고춧가루,참기름,돼지고기,두부,파,,,,,,,,,
된장찌개,1000100000020007,"된장,육수|소고기,두부,양파,파,고추,,,,,","구수한,뜨거운",1000,1000,0002,0007,f_016,된장,육수,소고기,두부,양파,파,고추,,,,,,,,,
순두부찌개,1000100000020008,"순두부,육수,고춧가루|간장,파,양파,계란,,,,,","매콤한,부드러운,뜨거운",1000,1000,0002,0008,f_017,순두부,육수,고춧가루,간장,파,양파,계란,,,,,,,,,
만둣국,1000100000020009,"소고기,육수,밀가루|미나리,두부,숙주,,,,,,","달콤한,짠,뜨거운,부드러운",1000,1000,0002,0009,f_018,소고기,육수,밀가루,미나리,두부,숙주,,,,,,,,,,
삼겹살,1000100000010005,"삼겹살|,,,,,,,,,,","쫄깃한,감칠,뜨거운",1000,1000,0001,0005,f_019,삼겹살,,,,,,,,,,,,,,,
갈비찜,1000100000030002,"소고기,간장|당근,밤,양파,파,마늘,생강,무,설탕,마늘,소주,조청,참기름,배즙,후추","달콤한,짭짤한,질긴,따뜻한",1000,1000,0003,0002,f_020,소고기,간장,당근,밤,양파,파,마늘,생강,무,설탕,마늘,소주,조청,참기름,배즙,후추
떡볶이,1000100000080001,"떡,고추장|어묵,파,양파,양배추,설탕,고춧가루,,,,","매콤한,달콤한,쫄깃한,따뜻한",1000,1000,0008,0001,f_021,떡,고추장,어묵,파,양파,양배추,설탕,고춧가루,,,,,,,,
꼼장어,1000100000010006,"꼼장어,고추장|소금,간장,소금,물엿,,,,,,","쫄깃한,따뜻한,고소한",1000,1000,0001,0006,f_022,꼼장어,고추장,소금,간장,소금,물엿,,,,,,,,,,
칼국수,1000100000060002,"면,육수|파,계란,통깨,김,간장,,,,,","얼큰한,싱거운,뜨거운",1000,1000,0006,0002,f_023,면,육수,파,계란,통깨,김,간장,,,,,,,,,
라면,1000100000060003,"면,라면스프|,,,,,,,,,","부드러운,짭짤한,뜨거운",1000,1000,0006,0003,f_024,면,라면스프,,,,,,,,,,,,,,
쫄면,1000100000060004,"면,고추장|간장,설탕,식초,참기름,깨,,,,,","쫄깃한,시원한,매운",1000,1000,0006,0004,f_025,면,고추장,간장,설탕,식초,참기름,깨,,,,,,,,,
볶음밥,1000100000070002,"밥,계란,햄,양파,소금,참기름|,,,,,","고소한,짭짤한,따뜻한,부드러운",1000,1000,0007,0002,f_026,밥,계란,햄,양파,소금,참기름,,,,,,,,,,
제육볶음,1000100000010007,"돼지고기,고추장|파,당근,마늘,소금,후추,간장,양파,설탕,,","달콤한,매운,쫄깃한,따뜻한",1000,1000,0001,0007,f_027,돼지고기,고추장,파,당근,마늘,소금,후추,간장,양파,설탕,,,,,,
부대찌개,1000100000020010,"육수,햄,김치,면|두부,고추,양파,버섯,파,소시지,마늘,고춧가루","얼큰한,뜨거운",1000,1000,0002,0010,f_028,육수,햄,김치,면,두부,고추,양파,버섯,파,소시지,마늘,고춧가루,,,,
육개장,1000100000020011,"소고기,고사리,고추기름|숙주,파,간장,마늘,고춧가루,참기름,토란,,","고소한,얼큰한,뜨거운",1000,1000,0002,0011,f_029,소고기,고사리,고추기름,숙주,파,간장,마늘,고춧가루,참기름,토란,,,,,,
소고기야채죽,1000100000070003,"밥,소고기,양파,호박,당근,버섯|간장,소금,참기름,,,","따뜻한,고소한,부드러운",1000,1000,0007,0003,f_030,밥,소고기,양파,호박,당근,버섯,간장,소금,참기름,,,,,,,
알밥,1000100000070004,"밥,날치알,들기름|김치,파프리카,김,단무지,,,,,","뜨거운,고소한",1000,1000,0007,0004,f_031,밥,날치알,들기름,김치,파프리카,김,단무지,,,,,,,,,
라볶이,1000100000080002,"떡,면,고추장|군만두,어묵,파,양파,양배추,,,,","매운,달콤한,쫄깃한,따뜻한",1000,1000,0008,0002,f_032,떡,면,고추장,군만두,어묵,파,양파,양배추,,,,,,,,